Sentiments,Reviews
0,"['stuff', 'design', 'totally', 'changed', 'cheap', 'quality', 'satisfied']"
1,"['got', 'parxel', 'timesorry', 'late', 'reviewbut', 'cap', 'amazing', 'looks', 'soo', 'classy', 'n', 'osmthnkuu', 'soo', 'much']"
1,"['far', 'good', 'bought', 'name', 'makute', 'big', 'fan', 'product', 'company', 'keep', 'good', 'work', 'darazpk', 'making', 'big', 'difference', 'difficult', 'times']"
1,"['received', 'time', 'safely', 'packed', 'box', 'product', 'way', 'better', 'expectations', 'love', 'dual', 'color', 'combination', 'quite', 'big', 'size', 'compare', 'local', 'market', 'ones', 'totally', 'worth', 'price']"
1,"['satisfied', '🤩']"
1,"['seller', 'cooperative', 'plus', 'sent', 'bodysuit', 'dress', 'mentioned', 'much', 'thankful']"
0,"['checked', 'device', 'cars', 'time', 'working', 'one', 'ordered', 'honda', 'vezel', 'working', 'honda', 'vezel']"
1,"['good', 'quality', 'fresh', 'given', 'time']"
0,"['fresh', 'small']"
0,"['sticked', 'around', 'pieces']"
0,"['’', 'fake', 'watch', '’', 'button', 'bluddy', 'scammer']"
1,['good']
1,['happy']
0,"['bohat', 'ajeeb', 'hain', 'return', 'bhi', 'nhi', 'ho', 'rhi', 'koi', 'achay', 'colour', 'nhi', 'hain', 'white', 'colour', 'bhi', 'nhi', 'chalta', 'ajeeb', 'bohat', 'ajeeb', 'bas', 'ye', 'hi', 'colours', 'hain']"
1,"['got', 'looking', 'seller', 'sent', 'good', 'packaging', 'condition', 'expiry', 'thanks', 'seller', 'recommended']"
0,"['received', 'damaged', 'scraper', 'roller', 'unsafe', 'delivery']"
1,"['authentic', 'product', 'recieved', 'safisfied', 'overall']"
1,"['excellent', 'product', 'shown', 'picture', 'nice', 'seller']"
1,"['great', 'product']"
1,"['like', 'much', 'quality', 'good']"
0,"['good', 'cooked', 'great', 'difficulty']"
1,"['fresh', 'appropriately', 'packaged']"
1,"['thaxx', 'much', 'gald', 'quality', 'sound', 'outstanding', 'love']"
0,"['ordered', 'packs', 'instead', 'recieving', 'bags', 'received', 'bagsnow', 'procedure', 'return', 'item', 'aur', 'u', 'send', 'remaining', 'three', 'bags']"
0,"['bulb', 'tube', 'light', 'refregirator', 'working', 'packing', 'good']"
1,"['time', 'got', 'parcel', 'days']"
1,"['good', 'shaper', 'best', 'quality', 'excellent', 'sauna', 'effect']"
0,"['rd', 'quality']"
1,"['great', 'wow']"
1,"['product', 'delivered', 'described', 'perfect', 'like', 'speed', 'processing', 'fully', 'satisfied']"
1,"['second', 'order', 'effective', 'baby', 'rash', 'good', 'product']"
1,"['glasses', 'really', 'cool', 'loved', 'really', 'awesome', 'finishing', 'world', 'style', 'material', 'really', 'really', 'good']"
0,"['worst', 'quality', 'even', 'charging', 'hr', 'become', 'power', 'offed', 'second', 'disappointed']"
1,"['good', 'product', 'nice']"
1,"['like', 'good', 'love', 'parcel', 'thank', 'daraz']"
0,"['bad', 'experience', 'didnt', 'worked', 'well', 'dont', 'recommend', 'buy', 'product']"
1,"['excellent', 'quality', 'mabroom', 'dates', 'prices', 'reasonable']"
0,"['delivered', 'time', 'bad', 'quality', 'hold', 'heavy', 'items', 'zippers', '’', 'good', 'recommend']"
